8,5,221,17,13
8,7,143,11,13
8,7,143,13,11
8,3,121,11,11
8,3,121,11,11
8,3,121,11,11
8,5,221,13,17
8,3,121,11,11
8,3,121,11,11
8,7,143,13,11
16,5,23393,149,157
16,5,26219,157,167
16,3,34081,173,197
16,11,54227,211,257
16,11,54227,211,257
16,5,33227,223,149
16,11,52961,211,251
16,5,23393,149,157
16,7,26969,181,149
16,11,47053,223,211
24,5,12401801,3109,3989
24,11,12718919,3109,4091
24,7,8538287,3461,2467
24,3,15374053,3797,4049
24,3,16151461,3989,4049
24,3,14595751,3989,3659
24,3,11379031,3167,3593
24,5,14190431,4093,3467
24,3,8446111,4001,2111
24,3,12920359,4049,3191
32,3,3381316297,64577,52361
32,3,2033655409,61583,33023
32,3,2058585259,57347,35897
32,3,2140642033,64553,33161
32,5,3582662731,61927,57853
32,3,3485847493,65537,53189
32,5,4012734881,65287,61463
32,7,2017573829,34429,58601
32,3,2673401587,40961,65267
32,7,3554960917,57601,61717
40,3,490420538899,532283,921353
40,5,443724506903,539039,823177
40,5,1067319644323,1019839,1046557
40,3,1031647335967,1048583,983849
40,5,780738144167,918469,850043
40,3,965911621219,934853,1033223
40,7,785938333643,999371,786433
40,5,1069743292931,1024159,1044509
40,3,1029903002761,1047647,983063
40,3,1032335223277,1016201,1015877
48,3,237178784505727,14650439,16189193
48,7,247970734893179,14809129,16744451
48,5,264297014186561,16769033,15761017
48,5,175921946427371,10485767,16777213
48,7,255953429791313,16531231,15483023
48,3,277224477356521,16769537,16531433
48,3,264784554105523,15786233,16773131
48,5,144852680671301,8650753,16744517
48,5,268968209112719,16523777,16277647
48,5,264978904569647,15793933,16777259
