136,7,"8,71109979176183E+040","2,95143541217694E+020","2,95147905179353E+020"
136,7,"7,62232501902902E+040","2,58254417031934E+020","2,95147905179353E+020"
136,3,"8,69421803277469E+040","2,94589405911564E+020",
136,13,"8,71121353551502E+040","2,95147887587167E+020","2,9514741259811E+020"
136,5,"7,63933809992585E+040","2,58830842634091E+020","2,95147905179353E+020"
136,3,"8,57513213220271E+040","2,90536777721422E+020","2,95147905179319E+020"
136,7,"4,35558158561992E+040","1,47573970181829E+020","2,95145653413899E+020"
136,3,"7,62234371022705E+040","2,58255542897481E+020","2,95147342229664E+020"
136,5,"8,71122028550464E+040","2,95147623704498E+020","2,95147905179353E+020"
136,11,"8,70690915355488E+040","2,95003789991277E+020","2,95145670969594E+020"
144,5,"2,23007447000701E+043","4,72236641250091E+021","4,72236644768527E+021"
144,3,"1,96692350479422E+043","4,71803402016341E+021","4,16894726996074E+021"
144,5,"2,22978584674215E+043","4,72233157990355E+021","4,72179009248582E+021"
144,3,"2,23007451978004E+043","4,72236648273221E+021","4,72236648285246E+021"
144,7,"2,22599070019725E+043","4,71371950125071E+021","4,72236563844458E+021"
144,11,"2,23007237647294E+043","4,72236644768527E+021","4,72236197927003E+021"
144,7,"1,67269200075965E+043","3,54206308813036E+021","4,72236648286964E+021"
144,5,"2,2300745188146E+043","4,72236648067062E+021","4,72236648286964E+021"
144,3,"2,23007039710547E+043","4,72235775701222E+021","4,72236647846945E+021"
144,5,"1,65954823274607E+043","3,54190096733981E+021","4,68547327564748E+021"
152,7,"5,70890361600363E+045","7,55567108044103E+022","7,55578631629687E+022"
152,3,"5,70898532580751E+045","7,55577916705193E+022","7,55578637171182E+022"
152,3,"5,65885782279979E+045","7,54840767848033E+022","7,49675701662559E+022"
152,13,"5,70899068575325E+045","7,55578626000144E+022","7,55578637259143E+022"
152,5,"4,37090267282715E+045","5,78484152051012E+022","7,55578637259143E+022"
152,5,"5,7089036598671E+045","7,55572872695598E+022","7,5557287273958E+022"
152,5,"5,70620453946779E+045","7,55209882609572E+022","7,55578637259143E+022"
152,3,"5,70619773315097E+045","7,55210422249922E+022","7,5557719610795E+022"
152,5,"5,70899077082384E+045","7,55578637259143E+022","7,55578637259143E+022"
152,5,"5,70898838884727E+045","7,55578322007169E+022","7,55578637259143E+022"
